name,category,physical_address,contact_email,contact_person
Blueberry Travel,Air Flight Agencies,"179 King George Road, Avondale",,
Host Travel,Air Flight Agencies,"197 Longchen Plaza Belvedere, Harare",,
Satguru Travel & Tours Services,Air Flight Agencies,"29 Eastgate Mall,R Mugabe Rd, Harare",,
DHL Villa Gardens Central Avenue/,Clearing Agents,4th Street Harare,,
Fedex Expres/ Cheetah Express Logistics,Clearing Agents,"100 Prince Edward Street, Harare",,
Allen Wack Shepherd Global Freight,Clearing Agents,12 Geore Drive Msasa,,
Speedlink cargo,Clearing Agents,"114 Borgward Road, Msasa, harare",,
Swift,"Transport Services ,car Hire And Aviation","55 Selous Avenue, Harare",,
DHL Villa Gardens Central Avenue/,"Transport Services ,car Hire And Aviation",4th Street Harare,,
LED,"Transport Services ,car Hire And Aviation",17 Rhodesville Avenue Highlands Harare,,
Rockshade,"Transport Services ,car Hire And Aviation","113 Samora Machel Avenue, Harare",,
Vaya No.,"Transport Services ,car Hire And Aviation","2 Old Mutare Road, Msasa",,
Unique Travel,"Transport Services ,car Hire And Aviation","123 Samora Machel Corner Park Street Jameson Hotel, Harare",,
Halsteads Aviation Corporation,"Transport Services ,car Hire And Aviation","2 Mount Road, Avondale, Harare",,
Impala Car Rentals,"Transport Services ,car Hire And Aviation","40 Chiremba Road, Hillside , harare",,
Concept Car Rental & Tours,"Transport Services ,car Hire And Aviation","151 Sam Nujoma, Cnr Duthie road, Belgravia, Harare",,
Gerylent Investments,"Transport Services ,car Hire And Aviation","2930 Glen Road, Glen lone. Harare",,
Toyota Zimbabwe,"Vehicles, Servicing & Repairs","1 Robert Drive Msasa, Box UA450 Union Avenue, Harare",,
Croco Motors (Toyota & Nissan),"Vehicles, Servicing & Repairs",1 Telford Road Graniteside Harare,,
Mike Harris,"Vehicles, Servicing & Repairs","111 Lomagundi Road, Greencroft, Harare",,
BR Motors,"Vehicles, Servicing & Repairs","7 Brickfields Road, Mt. Hampden, Harare",,
Duly's Cnr Robert Mugabe/,"Vehicles, Servicing & Repairs",3rd Street Harare,,
Motorcity Toyota Motor City Complex Seke Road Graniteside,"Vehicles, Servicing & Repairs",,,
Roadstar General Trading,"Vehicles, Servicing & Repairs",179 King George Road Avondale,,
