name,category,physical_address,contact_email,contact_person
Blueberry Travel,Air Flight Agencies,"179 King George Road, Avondale",blueberry.travel@supplier.local,Procurement Contact
Host Travel,Air Flight Agencies,"197 Longchen Plaza Belvedere, Harare",host.travel@supplier.local,Procurement Contact
Satguru Travel & Tours Services,Air Flight Agencies,"29 Eastgate Mall,R Mugabe Rd, Harare",satguru.travel.tours.services@supplier.local,Procurement Contact
DHL Villa Gardens Central Avenue/,Clearing Agents,4th Street Harare,dhl.villa.gardens.central.avenue@supplier.local,Procurement Contact
Fedex Expres/ Cheetah Express Logistics,Clearing Agents,"100 Prince Edward Street, Harare",fedex.expres.cheetah.express.logistics@supplier.local,Procurement Contact
Allen Wack Shepherd Global Freight,Clearing Agents,12 Geore Drive Msasa,allen.wack.shepherd.global.freight@supplier.local,Procurement Contact
Speedlink cargo,Clearing Agents,"114 Borgward Road, Msasa, harare",speedlink.cargo@supplier.local,Procurement Contact
Swift,"Transport Services ,car Hire And Aviation","55 Selous Avenue, Harare",swift@supplier.local,Procurement Contact
LED,"Transport Services ,car Hire And Aviation",17 Rhodesville Avenue Highlands Harare,led@supplier.local,Procurement Contact
Rockshade,"Transport Services ,car Hire And Aviation","113 Samora Machel Avenue, Harare",rockshade@supplier.local,Procurement Contact
Vaya No.,"Transport Services ,car Hire And Aviation","2 Old Mutare Road, Msasa",vaya.no@supplier.local,Procurement Contact
Unique Travel,"Transport Services ,car Hire And Aviation","123 Samora Machel Corner Park Street Jameson Hotel, Harare",unique.travel@supplier.local,Procurement Contact
Halsteads Aviation Corporation,"Transport Services ,car Hire And Aviation","2 Mount Road, Avondale, Harare",halsteads.aviation.corporation@supplier.local,Procurement Contact
Impala Car Rentals,"Transport Services ,car Hire And Aviation","40 Chiremba Road, Hillside , harare",impala.car.rentals@supplier.local,Procurement Contact
Concept Car Rental & Tours,"Transport Services ,car Hire And Aviation","151 Sam Nujoma, Cnr Duthie road, Belgravia, Harare",concept.car.rental.tours@supplier.local,Procurement Contact
Gerylent Investments,"Transport Services ,car Hire And Aviation","2930 Glen Road, Glen lone. Harare",gerylent.investments@supplier.local,Procurement Contact
Toyota Zimbabwe,"Vehicles, Servicing & Repairs","1 Robert Drive Msasa, Box UA450 Union Avenue, Harare",toyota.zimbabwe@supplier.local,Procurement Contact
Croco Motors (Toyota & Nissan),"Vehicles, Servicing & Repairs",1 Telford Road Graniteside Harare,croco.motors.toyota.nissan@supplier.local,Procurement Contact
Mike Harris,"Vehicles, Servicing & Repairs","111 Lomagundi Road, Greencroft, Harare",mike.harris@supplier.local,Procurement Contact
BR Motors,"Vehicles, Servicing & Repairs","7 Brickfields Road, Mt. Hampden, Harare",br.motors@supplier.local,Procurement Contact
Duly's Cnr Robert Mugabe/,"Vehicles, Servicing & Repairs",3rd Street Harare,duly.s.cnr.robert.mugabe@supplier.local,Procurement Contact
Motorcity Toyota Motor City Complex Seke Road Graniteside,"Vehicles, Servicing & Repairs",,motorcity.toyota.motor.city.complex.seke.road.graniteside@supplier.local,Procurement Contact
Roadstar General Trading,"Vehicles, Servicing & Repairs",179 King George Road Avondale,roadstar.general.trading@supplier.local,Procurement Contact
Car Nite Investments PVT LTD,"Vehicles, Servicing & Repairs",11 Conald Road Graniteside Harare,car.nite.investments.pvt.ltd@supplier.local,Procurement Contact
National Tyre Services,Tyres & Wheels Alignment,"10 Crawford Rd Graniteside Box 3018 Crips Road, Harare",national.tyre.services@supplier.local,Procurement Contact
"Tiger Wheel and Tyre Cripps/Seke Rd, Graniteside, Harare",Tyres & Wheels Alignment,,tiger.wheel.and.tyre.cripps.seke.rd.graniteside.harare@supplier.local,Procurement Contact
Car Guard,Vehicles Accessories,"21 Edison Cres, Graniteside Harare",car.guard@supplier.local,Procurement Contact
Starbar No.,Vehicles Accessories,"2 Martin Drive Msasa, Harare",starbar.no@supplier.local,Procurement Contact
Pro Auto Styling,Vehicles Accessories,27 Glenara Rd South. Eastlea; Harare,pro.auto.styling@supplier.local,Procurement Contact
